Method,Short Name,Citation,Year,Group,Input Conditioning,Input Extra,Scene Representation,Scene Rep Extra,Knowledge Base,Layout Generation,Generation Extra,Placement Refinement,Obj Shape,Retrieval Extra,Notes,Checked,In Paper,SelectedForTable,
Characterizing structural relationships in scenes using graph kernels,,fisher2011characterizing,2011,Stats,"PartialScene, CompleteScene",,SceneGraph,,3DScenes,Stats,GraphKernel,N/A,Retrieval,N/A,,?,?,F,
Make it home: automatic optimization of furniture arrangement,Make it Home,yu2011make,2011,Stats,CompleteScene,,Sequence,,"Human, 3DScenes",Constraints,SimulatedAnnealing,N/A,N/A,N/A,,?,T,T,
Learning Object Arrangements in 3D Scenes using Human Context,,jiang2012learning,2012,Stats,"FloorShape, PartialScene",,Sequence,,3DScenes,Stats,"DPMM, GaussianDist, VonMisesDist",Collision,Retrieval,Unknown,,?,T,T,
Example-based Synthesis of 3D Object Arrangements,,fisher2012example,2012,Stats,CompleteScene,,SceneGraph,,"Human, 3DScenes","Constraints, Stats","BayesNet, GMM, KDE, Sampling, HillClimbing",SupportRegion,Retrieval,"Category, RandomSample",,?,T,T,
Sketch2Scene: sketch-based co-retrieval and co-placement of 3D models,Sketch2Scene,xu2013sketch2scene,2013,Stats,Sketch,,SceneGraph,,"Human, 3DScenes","Constraints, Stats","GMM, GradientOptimization, BeamSearch","SupportRegion, Collision, ImageCorrespondence",Retrieval,Sketch,,?,T,T,
"A Relevancy, Hierarchical and Contextual Maximum Entropy Framework for a Data-Driven 3D Scene Generation",MaxEnt,dema2014relevancy,2014,Stats,N/A,,SceneGraph,,"Human, 3DScenes","Constraints, Stats","Gibbs, Metropolis",N/A,Retrieval,"Category, RandomSample",,?,?,F,
Interactive Learning of Spatial Knowledge for Text to 3D Scene Generation,,chang2014interactive,2014,Stats,FreeText,,SceneGraph,,3DScenes,Stats,"Sampling, HillClimbing",N/A,Retrieval,Category,,?,T,T,
Learning Spatial Knowledge for Text to 3D Scene Generation,,chang2014learning,2014,Stats,FreeText,,SceneGraph,,3DScenes,Stats,"Sampling, HillClimbing",N/A,Retrieval,Category,,?,T,T,
Wall grid structure for interior scene synthesis,,xu2015wall,2015,Stats,"RoomType, FloorShape, WindowsDoors",,3DScene,WallGridStructure,3DScenes,Stats,Sampling,N/A,N/A,N/A,,?,?,F,
Text to 3D Scene Generation with Rich Lexical Grounding,,chang2015text,2015,Stats,FreeText,,SceneGraph,,3DScenes,Stats,"Sampling, HillClimbing",N/A,Retrieval,"Category, Description, Embeddings",,?,?,F,
Activity-centric scene synthesis for functional 3D scene modeling,,fisher2015activity,2015,Stats,Scan,,3DScene,"CellularRepresentation, ActivityMap","Human, 3DScenes","Constraints, Stats","BayesNet, GreedyCostMinimization",N/A,Retrieval,"Category, RandomSample",,?,T,T,
The Clutterpalette: An Interactive Tool for Detailing Indoor Scenes,Clutterpalette,yu2015clutterpalette,2016,Stats,"RoomType, PartialScene, UserInteraction",Position,3DScene,,Image,Stats,BayesNet,N/A,Retrieval,"Category, RandomSample",,T,T,T,
SceneNet: An annotated model generator for indoor scene understanding,SceneNet,handa2016scenenet,2016,Stats,"FloorShape, ObjectList",,Sequence,,"3DScenes, Image","Constraints, Stats",SimulatedAnnealing,N/A,Retrieval,Unknown,,?,?,F,
PiGraphs: learning interaction snapshots from observations,PiGraphs,savva2016pigraphs,2016,Stats,StructureText,,SceneGraph,,"Human, 3DScenes","Constraints, Stats","Histogram, GaussianDist, VonMisesDist, Sampling",SupportRegion,Retrieval,Category,,?,T,T,
Learning 3D Scene Synthesis from Annotated RGB‐D Images,,kermani2016learning,2016,Stats,"RoomType, FloorShape, PartialScene, #ObjsToAdd",,SceneGraph,,"Human, Image","Constraints, Stats","KMean, MCMC",N/A,Retrieval,Unknown,,?,T,T,
SceneSeer: 3D Scene Design with Natural Language,SceneSeer,chang2017sceneseer,2017,Stats,"FreeText, PartialScene, CompleteScene",,SceneGraph,,3DScenes,Stats,Sampling,N/A,Retrieval,Description,,?,?,F,
